Variable,Description,Type,Units
IPL.INL.4.4,Grosor de la capa IPL-INL celda 4.4,Num,Real (µm)
IPL.INL.4.5,Grosor de la capa IPL-INL celda 4.5,Num,Real (µm)
IPL.INL.4.6,Grosor de la capa IPL-INL celda 4.6,Num,Real (µm)
IPL.INL.4.7,Grosor de la capa IPL-INL celda 4.7,Num,Real (µm)
IPL.INL.4.8,Grosor de la capa IPL-INL celda 4.8,Num,Real (µm)
IPL.INL.5.1,Grosor de la capa IPL-INL celda 5.1,Num,Real (µm)
IPL.INL.5.2,Grosor de la capa IPL-INL celda 5.2,Num,Real (µm)
IPL.INL.5.3,Grosor de la capa IPL-INL celda 5.3,Num,Real (µm)
IPL.INL.5.4,Grosor de la capa IPL-INL celda 5.4,Num,Real (µm)
IPL.INL.5.5,Grosor de la capa IPL-INL celda 5.5,Num,Real (µm)
IPL.INL.5.6,Grosor de la capa IPL-INL celda 5.6,Num,Real (µm)
IPL.INL.5.7,Grosor de la capa IPL-INL celda 5.7,Num,Real (µm)
IPL.INL.5.8,Grosor de la capa IPL-INL celda 5.8,Num,Real (µm)
IPL.INL.6.1,Grosor de la capa IPL-INL celda 6.1,Num,Real (µm)
IPL.INL.6.2,Grosor de la capa IPL-INL celda 6.2,Num,Real (µm)
IPL.INL.6.3,Grosor de la capa IPL-INL celda 6.3,Num,Real (µm)
IPL.INL.6.4,Grosor de la capa IPL-INL celda 6.4,Num,Real (µm)
IPL.INL.6.5,Grosor de la capa IPL-INL celda 6.5,Num,Real (µm)
IPL.INL.6.6,Grosor de la capa IPL-INL celda 6.6,Num,Real (µm)
IPL.INL.6.7,Grosor de la capa IPL-INL celda 6.7,Num,Real (µm)
IPL.INL.6.8,Grosor de la capa IPL-INL celda 6.8,Num,Real (µm)
IPL.INL.7.1,Grosor de la capa IPL-INL celda 7.1,Num,Real (µm)
IPL.INL.7.2,Grosor de la capa IPL-INL celda 7.2,Num,Real (µm)
IPL.INL.7.3,Grosor de la capa IPL-INL celda 7.3,Num,Real (µm)
IPL.INL.7.4,Grosor de la capa IPL-INL celda 7.4,Num,Real (µm)
IPL.INL.7.5,Grosor de la capa IPL-INL celda 7.5,Num,Real (µm)
